('Time: ', '2017-04-29 02:17:20.643391', ' Temperature: ', 91.849999999999994)
('Time: ', '2017-04-29 02:17:20.643391', ' Humidity :', 42.620000000000005)
('Time: ', '2017-04-29 02:17:20.643391', ' Pressure:', 1011.326)
('Time: ', '2017-04-29 02:18:21.259221', ' Temperature: ', 91.858999999999995)
('Time: ', '2017-04-29 02:18:21.259221', ' Humidity :', 43.128)
('Time: ', '2017-04-29 02:18:21.259221', ' Pressure:', 1011.3119999999999)
('Time: ', '2017-04-29 02:19:21.900263', ' Temperature: ', 91.530000000000001)
('Time: ', '2017-04-29 02:19:21.900263', ' Humidity :', 42.82)
('Time: ', '2017-04-29 02:19:21.900263', ' Pressure:', 1011.3380000000001)
('Time: ', '2017-04-29 02:20:22.540620', ' Temperature: ', 91.256000000000014)
('Time: ', '2017-04-29 02:20:22.540620', ' Humidity :', 43.415000000000006)
('Time: ', '2017-04-29 02:20:22.540620', ' Pressure:', 1011.356)
('Time: ', '2017-04-29 02:21:23.180907', ' Temperature: ', 90.799999999999997)
('Time: ', '2017-04-29 02:21:23.180907', ' Humidity :', 43.170000000000002)
('Time: ', '2017-04-29 02:21:23.180907', ' Pressure:', 1011.372)
('Time: ', '2017-04-29 02:22:23.821176', ' Temperature: ', 90.52300000000001)
('Time: ', '2017-04-29 02:22:23.821176', ' Humidity :', 44.316999999999993)
('Time: ', '2017-04-29 02:22:23.821176', ' Pressure:', 1011.3950000000001)
('Time: ', '2017-04-29 02:23:24.460819', ' Temperature: ', 90.263000000000005)
('Time: ', '2017-04-29 02:23:24.460819', ' Humidity :', 44.342999999999996)
('Time: ', '2017-04-29 02:23:24.460819', ' Pressure:', 1011.391)
('Time: ', '2017-04-29 02:24:25.101118', ' Temperature: ', 89.903000000000006)
('Time: ', '2017-04-29 02:24:25.101118', ' Humidity :', 44.737999999999992)
('Time: ', '2017-04-29 02:24:25.101118', ' Pressure:', 1011.381)
('Time: ', '2017-04-29 02:25:25.741505', ' Temperature: ', 89.611999999999995)
('Time: ', '2017-04-29 02:25:25.741505', ' Humidity :', 45.591000000000001)
('Time: ', '2017-04-29 02:25:25.741505', ' Pressure:', 1011.4009999999998)
('Time: ', '2017-04-29 02:26:26.381810', ' Temperature: ', 89.532000000000011)
('Time: ', '2017-04-29 02:26:26.381810', ' Humidity :', 45.881999999999998)
('Time: ', '2017-04-29 02:26:26.381810', ' Pressure:', 1011.4079999999998)
('Time: ', '2017-04-29 02:27:27.015808', ' Temperature: ', 89.309999999999988)
('Time: ', '2017-04-29 02:27:27.015808', ' Humidity :', 45.302)
('Time: ', '2017-04-29 02:27:27.015808', ' Pressure:', 1011.3680000000001)
('Time: ', '2017-04-29 02:28:27.628085', ' Temperature: ', 89.075999999999993)
('Time: ', '2017-04-29 02:28:27.628085', ' Humidity :', 45.369)
('Time: ', '2017-04-29 02:28:27.628085', ' Pressure:', 1011.3650000000001)
('Time: ', '2017-04-29 02:29:28.240333', ' Temperature: ', 89.059999999999988)
('Time: ', '2017-04-29 02:29:28.240333', ' Humidity :', 45.657000000000004)
('Time: ', '2017-04-29 02:29:28.240333', ' Pressure:', 1011.333)
('Time: ', '2017-04-29 02:30:28.880805', ' Temperature: ', 88.957000000000008)
('Time: ', '2017-04-29 02:30:28.880805', ' Humidity :', 45.695000000000007)
('Time: ', '2017-04-29 02:30:28.880805', ' Pressure:', 1011.2299999999998)
